Problem,Total_Value,Total_Weight,Selected_Items,Time
500_500_1_1_5,5529,158,229-260-447-82-376-299-142-156-324-122-191-154-36-286-128-362,10.005877017974854
500_500_1_2_5,4249,181,436-484-70-50-171-71-33-87-475-356-428-459-130-400-307,10.00478744506836
500_500_1_3_5,4742,86,204-126-279-265-131-264-471-344-89-3-41-138-280-385-94,10.015520095825195
500_500_1_4_5,4841,94,398-410-350-344-204-205-285-337-125-338-276-124-314-375-297,10.005578994750977
500_500_1_5_5,5047,117,145-356-274-380-497-299-22-147-455-74-294-32-330-344,10.01248025894165
500_500_2_1_5,827,356,260-82-156-376-374-402-113-36-288-201-474-226-324-309-207-249,10.010013103485107
500_500_2_2_5,1090,498,484-400-459-475-75-448-390-200-87-220-304-180-34-409-284-275,10.006257057189941
500_500_2_3_5,785,195,126-264-3-471-138-280-144-258-336-423-349-337-132-385-52,10.007752180099487
500_500_2_4_5,681,206,398-125-410-124-338-285-276-107-348-485-130-148-174-407-268,10.002542734146118
500_500_2_5_5,797,326,145-497-74-489-250-274-344-356-48-79-16-92-343-65-445,10.002561569213867
500_500_3_1_5,346,186,457-283-311-163-482-188-243-160-234-71-381-405-307-364-225-66,10.004158973693848
500_500_3_2_5,286,136,49-50-139-247-296-56-472-44-192-99-173-308-128-143-259,10.00999927520752
500_500_3_3_5,231,81,251-407-81-136-30-261-5-216-232-344-343-177-205-275-460,10.006549596786499
500_500_3_4_5,264,114,249-294-404-463-247-407-409-257-134-236-472-213-125-329-489,10.013904571533203
500_500_3_5_5,301,161,289-63-9-24-464-293-409-43-147-47-207-411-14-109,10.002483367919922
500_500_4_1_5,5106,5106,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.011432886123657
500_500_4_2_5,3954,3954,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16,10.014892339706421
500_500_4_3_5,3371,3371,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.004496335983276
500_500_4_4_5,4505,4505,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.00763201713562
500_500_4_5_5,3471,3471,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10.000609159469604
500_1000_1_1_5,8728,222,156-260-447-376-299-286-402-142-295-288-324-122-328-267-191-198,10.001573324203491
500_1000_1_2_5,9189,271,25-484-400-356-500-475-459-50-171-71-33-87-448-390-229,10.004727840423584
500_1000_1_3_5,9921,229,131-279-265-138-280-5-338-349-52-3-41-192-94-355-444,10.256662607192993
500_1000_1_4_5,10132,239,398-410-350-338-344-276-314-485-288-479-148-407-174-27-375,10.002655506134033
500_1000_1_5_5,9693,203,145-274-356-380-32-299-22-330-206-74-79-31-294-102,10.001577377319336
500_1000_2_1_5,1509,593,447-376-122-260-288-156-267-337-328-495-198-21-140-352-161-86,10.02598524093628
500_1000_2_2_5,1573,520,484-356-428-260-116-187-367-448-307-229-50-309-155-73-4,10.005585193634033
500_1000_2_3_5,1537,576,265-41-280-349-258-337-132-192-87-159-49-179-178-272-411,10.003603219985962
500_1000_2_4_5,1728,739,398-479-410-130-174-350-148-309-305-27-463-307-365-141-183,10.004875898361206
500_1000_2_5_5,1846,783,145-22-206-486-384-48-31-443-401-411-65-56-406-460-402,10.0030038356781
500_1000_3_1_5,439,279,283-311-482-188-243-160-234-381-364-225-134-294-60-401-34-346,10.007948875427246
500_1000_3_2_5,375,225,49-44-192-99-173-259-264-341-65-490-141-68-210-312-67,10.002432584762573
500_1000_3_3_5,333,183,81-136-261-5-216-232-344-275-187-9-246-103-263-383-114,10.00751519203186
500_1000_3_4_5,507,367,236-59-333-178-128-165-259-295-73-258-332-347-315-273,10.001792430877686
500_1000_3_5_5,391,251,289-63-24-43-147-411-14-499-380-34-153-400-95-374,10.005980968475342
500_1000_4_1_5,10606,10606,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.019044399261475
500_1000_4_2_5,9954,9954,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16,10.00496530532837
500_1000_4_3_5,6371,6371,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.001957654953003
500_1000_4_4_5,9505,9505,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.002326011657715
500_1000_4_5_5,7066,7066,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.006154298782349
